timestamp,port,baud,window_s,sample_rate_hz,frame_step,missed_estimate,status_max_hex,channel,samples,mean_mv,rms_noise_mv,peak_to_peak_mv,min_mv,max_mv
20260511-112437,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,0,10000.0,-958.2729404270649,15.341370661682587,97.71943092346191,-1011.5599632263184,-913.8405323028564
20260511-112437,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,1,10000.0,-176.54998421669006,1.71914867192647,11.833012104034424,-182.74962902069092,-170.9166169166565
20260511-112437,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,2,10000.0,532.8459368050098,1.6964316105306252,11.519789695739746,526.7581343650818,538.2779240608215
20260511-112437,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,4,10000.0,-223.69774469733238,1.5477313190749864,10.578632354736328,-228.98346185684204,-218.4048295021057
20260511-112437,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,5,10000.0,371.83299735188484,1.5157253095110135,10.606050491333008,365.51862955093384,376.12468004226685
20260511-112437,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,7,10000.0,93.00418668985367,1.3135594748275357,9.98079776763916,88.26494216918945,98.24573993682861
