timestamp,port,baud,window_s,sample_rate_hz,frame_step,missed_estimate,status_max_hex,channel,samples,mean_mv,rms_noise_mv,peak_to_peak_mv,min_mv,max_mv
20260511-112453,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,0,10000.0,-241.6297660768032,1.7329423744848744,11.886060237884521,-247.82180786132812,-235.9357476234436
20260511-112453,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,1,10000.0,-202.54670855402946,1.4881964885862393,10.566413402557373,-207.62711763381958,-197.0607042312622
20260511-112453,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,2,10000.0,576.0125332772732,1.4029328936997452,10.64687967300415,570.1875686645508,580.8344483375549
20260511-112453,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,4,10000.0,-188.72623533010483,1.5003926220792523,11.598765850067139,-195.2284574508667,-183.62969160079956
20260511-112453,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,5,10000.0,434.9024946093559,1.5608600281855654,10.457932949066162,429.5158386230469,439.97377157211304
20260511-112453,/dev/cu.usbserial-10,921600,10.0,1000.0,1.0,0,0x03,7,10000.0,85.86377620697021,1.297246857051046,9.87708568572998,80.80720901489258,90.68429470062256
