time_s,frame,ch0_mv,ch1_mv,ch2_mv,status
-59.907,427880,-2346.49032,1180.58294,-1679.14748,1
-59.906,427881,-2329.76794,1181.71692,-1678.67988,1
-59.905,427882,-2343.14561,1181.00137,-1683.54839,1
-59.904,427883,-2375.62686,1180.363,-1686.81324,1
-59.903,427884,-2391.1491,1178.101,-1686.17815,1
-59.902,427885,-2389.49448,1175.54456,-1684.78549,1
-59.901,427886,-2388.59475,1176.1567,-1682.91032,1
-59.9,427887,-2392.17699,1175.81129,-1682.61886,1
-59.899,427888,-2405.85238,1173.22326,-1682.85817,1
-59.898,427889,-2426.69582,1171.84609,-1682.65641,1
-59.897,427890,-2424.72857,1171.25958,-1680.28712,1
-59.896,427891,-2396.22325,1172.96308,-1676.16636,1
-59.895,427892,-2375.91535,1175.13865,-1676.02539,1
-59.894,427893,-2373.95406,1176.82636,-1678.49779,1
-59.893,427894,-2374.49914,1176.33969,-1680.42481,1
-59.892,427895,-2370.82303,1175.83126,-1681.79303,1
-59.891,427896,-2359.33363,1177.70791,-1681.91284,1
-59.89,427897,-2337.06117,1181.2067,-1679.7325,1
-59.889,427898,-2329.16653,1183.71397,-1682.23947,1
-59.888,427899,-2352.00971,1182.81484,-1687.16699,1
-59.887,427900,-2381.55186,1181.27018,-1688.00473,1
-59.886,427901,-2388.76402,1179.51512,-1684.6621,1
-59.885,427902,-2388.65167,1178.6148,-1683.20119,1
-59.884,427903,-2391.06148,1177.69629,-1682.58905,1
-59.883,427904,-2396.83777,1176.95659,-1682.50322,1
-59.882,427905,-2413.92374,1174.30061,-1682.41441,1
-59.881,427906,-2429.01981,1171.10044,-1680.65637,1
-59.88,427907,-2416.7496,1172.1763,-1676.67717,1
-59.879,427908,-2387.50547,1173.05011,-1675.01241,1
-59.878,427909,-2375.05555,1174.39598,-1676.33057,1
-59.877,427910,-2375.45401,1175.92037,-1678.22748,1
-59.876,427911,-2374.77392,1176.04971,-1680.47071,1
-59.875,427912,-2369.27897,1178.03752,-1680.48292,1
-59.874,427913,-2351.32158,1179.93832,-1680.79078,1
-59.873,427914,-2328.13984,1182.3076,-1680.41885,1
-59.872,427915,-2330.47903,1180.91613,-1682.93387,1
-59.871,427916,-2362.81753,1180.95487,-1687.44743,1
-59.87,427917,-2386.57117,1180.16899,-1687.70105,1
-59.869,427918,-2388.9488,1177.67543,-1686.09142,1
-59.868,427919,-2387.17824,1177.9806,-1684.44276,1
-59.867,427920,-2391.18874,1178.20233,-1683.93552,1
-59.866,427921,-2400.56068,1175.71115,-1683.01493,1
-59.865,427922,-2421.22978,1172.02222,-1683.37524,1
-59.864,427923,-2428.36803,1170.64953,-1681.10371,1
-59.863,427924,-2407.4778,1172.33843,-1676.75704,1
-59.862,427925,-2382.38901,1174.55155,-1675.76343,1
-59.861,427926,-2375.88286,1176.6085,-1676.99099,1
-59.86,427927,-2377.04843,1176.93633,-1677.94168,1
-59.859,427928,-2374.82101,1176.39929,-1679.34746,1
-59.858,427929,-2364.32821,1177.77258,-1680.79972,1
-59.857,427930,-2341.6394,1180.35406,-1680.34554,1
-59.856,427931,-2325.17689,1181.64927,-1681.85532,1
-59.855,427932,-2339.45757,1179.86023,-1685.53203,1
-59.854,427933,-2372.97058,1179.07792,-1688.86989,1
-59.853,427934,-2388.04758,1177.25909,-1686.19812,1
-59.852,427935,-2387.54481,1176.65619,-1684.77654,1
-59.851,427936,-2385.98853,1176.78016,-1682.854,1
-59.85,427937,-2391.15894,1176.0667,-1682.54882,1
-59.849,427938,-2405.46972,1173.59459,-1683.366,1
-59.848,427939,-2423.25932,1170.64625,-1683.46673,1
-59.847,427940,-2422.54406,1170.74847,-1680.69392,1
-59.846,427941,-2395.37209,1173.63483,-1675.36497,1
-59.845,427942,-2377.46775,1176.30243,-1676.33474,1
-59.844,427943,-2377.06661,1178.07388,-1677.02287,1
-59.843,427944,-2376.77991,1177.75559,-1678.59674,1
-59.842,427945,-2372.52176,1178.03395,-1679.71909,1
-59.841,427946,-2361.0872,1179.60781,-1679.60465,1
-59.84,427947,-2336.9503,1182.85269,-1678.97761,1
-59.839,427948,-2329.45979,1183.19839,-1681.96112,1
-59.838,427949,-2354.07621,1182.2772,-1687.55949,1
-59.837,427950,-2382.67601,1179.97766,-1688.25299,1
-59.836,427951,-2388.68237,1178.88153,-1685.94688,1
-59.835,427952,-2386.40279,1177.31363,-1683.45571,1
-59.834,427953,-2388.1346,1178.15763,-1681.68396,1
-59.833,427954,-2394.64968,1175.75169,-1681.76413,1
-59.832,427955,-2412.37491,1172.33545,-1683.00778,1
-59.831,427956,-2427.11812,1170.60691,-1682.11877,1
-59.83,427957,-2412.73552,1172.03951,-1678.68227,1
-59.829,427958,-2382.51895,1173.09332,-1676.53739,1
-59.828,427959,-2371.85389,1175.7645,-1677.07175,1
-59.827,427960,-2373.35265,1176.27621,-1678.37292,1
-59.826,427961,-2373.04658,1177.20604,-1679.838,1
-59.825,427962,-2367.68574,1177.9049,-1679.9438,1
-59.824,427963,-2351.1827,1180.19968,-1679.98821,1
-59.823,427964,-2328.88818,1182.48016,-1681.18477,1
-59.822,427965,-2333.56655,1182.46138,-1683.49892,1
-59.821,427966,-2366.12022,1182.33055,-1687.50882,1
-59.82,427967,-2387.23516,1181.297,-1686.62518,1
-59.819,427968,-2390.15043,1178.74712,-1684.35633,1
-59.818,427969,-2388.43232,1178.07478,-1682.32024,1
-59.817,427970,-2391.5863,1178.40767,-1681.62614,1
-59.816,427971,-2403.42021,1176.03451,-1681.81062,1
-59.815,427972,-2424.82483,1172.65016,-1682.96903,1
-59.814,427973,-2431.89633,1171.47356,-1680.89986,1
-59.813,427974,-2407.58359,1172.21951,-1676.97459,1
-59.812,427975,-2381.47318,1175.43101,-1675.44186,1
-59.811,427976,-2374.72892,1177.34611,-1676.87714,1
-59.81,427977,-2375.4257,1177.18548,-1678.94632,1
-59.809,427978,-2372.45649,1176.57214,-1679.95244,1
-59.808,427979,-2362.19227,1177.30081,-1679.97718,1
-59.807,427980,-2340.97123,1180.37373,-1678.36547,1
-59.806,427981,-2325.31905,1182.62529,-1680.45789,1
-59.805,427982,-2340.75665,1181.32651,-1685.33415,1
-59.804,427983,-2375.39768,1181.18107,-1687.814,1
-59.803,427984,-2389.60117,1179.25972,-1687.12497,1
-59.802,427985,-2386.84952,1176.90772,-1686.382,1
-59.801,427986,-2385.63776,1178.06524,-1684.47256,1
-59.8,427987,-2392.06731,1178.15852,-1683.77459,1
-59.799,427988,-2407.44591,1173.50698,-1683.76923,1
-59.798,427989,-2426.44548,1170.84563,-1682.04963,1
-59.797,427990,-2423.88278,1171.57787,-1678.30795,1
-59.796,427991,-2394.83505,1173.57045,-1674.94148,1
-59.795,427992,-2376.57309,1174.68983,-1674.49951,1
-59.794,427993,-2375.89836,1177.09965,-1676.43964,1
-59.793,427994,-2375.66382,1176.29051,-1678.15208,1
-59.792,427995,-2369.8777,1176.43684,-1679.94171,1
-59.791,427996,-2356.93663,1178.42615,-1679.77333,1
-59.79,427997,-2332.61555,1181.62602,-1679.30841,1
-59.789,427998,-2326.30849,1181.38999,-1682.45465,1
-59.788,427999,-2353.11419,1179.92312,-1685.96923,1
-59.787,428000,-2382.56395,1177.87868,-1687.06656,1
-59.786,428001,-2388.9637,1177.19948,-1686.19663,1
-59.785,428002,-2386.06989,1177.19084,-1684.26841,1
-59.784,428003,-2386.82568,1177.47366,-1683.28404,1
-59.783,428004,-2393.99344,1176.16922,-1682.53601,1
-59.782,428005,-2411.93116,1172.86772,-1684.10897,1
-59.781,428006,-2425.79788,1170.36372,-1682.56015,1
-59.78,428007,-2412.11027,1170.834,-1678.42656,1
-59.779,428008,-2384.05168,1174.04014,-1675.54945,1
-59.778,428009,-2374.75157,1176.15134,-1676.7022,1
-59.777,428010,-2377.22546,1177.35922,-1677.20824,1
-59.776,428011,-2377.47818,1177.30469,-1678.98566,1
-59.775,428012,-2370.52113,1179.12322,-1680.58515,1
-59.774,428013,-2351.16303,1180.64612,-1679.35401,1
-59.773,428014,-2328.50343,1183.85345,-1680.89628,1
