Designator,Mid X,Mid Y,Rotation,Layer
R59,123.7,-81.7,90.0,top
R6,172.2,-97.675,0.0,top
R60,130.9,-105.3,90.0,top
R61,142.3,-97.725,270.0,top
R62,129.3,-105.3,90.0,top
R63,134.1,-105.3,90.0,top
R64,144.95,-94.875,0.0,top
R65,140.5,-105.3,90.0,top
R66,132.5,-105.3,90.0,top
R67,139.6875,-107.85,0.0,top
R68,137.3,-105.3,90.0,top
R69,138.9,-105.3,90.0,top
R7,122.65,-67.8,0.0,top
R70,135.7,-105.3,90.0,top
R71,130.6,-81.7,270.0,top
R72,129.0,-81.7,270.0,top
R73,140.525,-98.35,270.0,top
R74,133.8,-81.7,270.0,top
R75,132.2,-81.7,270.0,top
R76,141.05,-85.0,90.0,top
R77,139.4,-81.7,270.0,top
R78,142.775,-84.175,270.0,top
R79,137.8,-81.7,270.0,top
R8,122.65,-69.35,0.0,top
R80,148.7,-87.625,90.0,top
R81,128.45,-87.85,180.0,top
R84,125.025,-47.75,270.0,top
R85,126.675,-51.05,270.0,top
R88,175.4,-73.35,0.0,top
R89,142.225,-75.675,270.0,top
R90,168.3,-78.65,270.0,top
R91,143.15,-78.0875,0.0,top
R93,177.0,-76.05,0.0,top
R94,180.3,-76.05,180.0,top
R96,225.825,-90.57,180.0,top
R97,224.3,-80.025,0.0,top
R98,231.375,-75.675,90.0,top
R99,230.675,-62.7,90.0,top
TH1,139.675,-109.65,0.0,top
U1,173.8,-100.575,0.0,top
U10,133.9,-125.7,180.0,top
U11,134.5,-93.5,180.0,top
U12,132.025,-50.775,0.0,top
U13,148.5875,-76.475,0.0,top
U14,171.8,-78.35,0.0,top
U15,227.5,-85.5,90.0,top
U16,226.0,-71.5,0.0,top
U17,211.7492,-97.05,0.0,top
U19,201.0,-106.5,0.0,top
U2,136.075,-59.705,90.0,top
U3,160.2625,-52.7,180.0,top
U4,171.55,-139.455,270.0,top
U5,171.55,-128.455,270.0,top
U7,214.9,-53.3,270.0,top
U8,193.84,-75.14,90.0,top
U9,193.225,-96.375,270.0,top
X1,233.85,-68.0,270.0,top
Y1,141.825,-88.425,180.0,top
